Category,Sales,Store Code,Store Retail
,,,
DRINKS,,,
DIET COKE 20OZ,430,7315,2.69
CELSIUS APPLE PEAR,286,30204,2.99
MONSTER ZERO,227,46923,3.69
CORE POWER ELITE CHOC,851,11889,5.49
POWERADE MIXED BERRY ZERO 20OZ,280,23935,1.99
ARIZONA ARNOLD PALMER CAN,330,41296,0.99
SMART WATER SPORT 700ML,1031,23947,2.39
SMART WATER 1 LTR,1001,23976,2.69
DASANI WATER 20 OZ,673,25415,2.29
BEST YET SPRING WATER 24PK ,567,36931,6.29
POLAND SPRING WATER GALLON,550,25416,2.89
,,,
SNACKS,,,
NAB OREO ORIGINAL SANDWICH,160,27826,6.99
GOLDFISH CHEDDAR 6.6OZ,249,8722,3.69
CHEEZ-ITS ORIGINAL,187,33316,6.49
HARIBO GOLD GUMMY BEARS PEGGED,255,22361,1.99
SOUR PATCH KIDS PEGGED,172,22359,2.29
EXTRA POLAR ICE GUM,229,29878,1.49
ORBIT SPEARMINT`,143,11923,1.59
CLIF CHOC CHIP,172,11272,2.99
QUEST COOKIES & CREAM,126,29196,3.99
GATORADE PROTEIN BAR CHOC CHIP,104,100382,2.19
CLIF COOL MINT CHOC ,97,37744,2.99
,,,
TOILETRIES,,,
CREST WHITENING TOOTHPASTE W/SCOPE,61,44213,1.99
LISTERINE COOL MINT MOUTHWASH,35,44211,2.99
RTC TOOTHBRUSH CLEAN MEDIUM,76,37377,0.99
TOPCARE TWEEZER SLANT,41,37283,1.89
PURELL 8OZ,54,15231,4.99
KLEENEX FLAT LOTION 120SHT,148,15308,3.29
KLEENEX FLAT ULTRA 60SHT,94,15307,2.99
FIORA 2PLY TOILET PAPER 4PK,76,223319,3.99
,,,
PREPARED FOOD,,,
TICO'S MANGO SMOOTHIE,99,13791,7.69
TICO'S MANGO SLICES,774,37474,5.49
TICO'S BAGEL & CREAM CHEESE ,234,49124,3.49
TIGER SUSHI SALMON AVOCADO ROLL,372,37625,7
TIGER SUSHI SHRIMP TEMPURA ROLL,211,28154,7
TIGER NOODLE SESAME SEED CHICKEN,944,13279,8
TIGER NOODLE GENERAL TSO CHICKEN,803,13273,8
TIGER NOODLE CHICKEN LO MEIN,370,13282,7
D'ANGELO CHICKEN SALAD WRAP,93,41176,8.99
D'ANGELO PENNE VODKA SAUCE,92,41171,9.99
D'ANGELO CHICKEN PARM W/ SPAGHETTI,84,41174,9.99
,,,
SCHOOL SUPPLIES,,,
PRINCETON PLANNER 2024-2025,233,48879,18
PTON 1 SUBJ 100 SHT,222,4652,8
STANDARDS COLLEGE RULED 1 SUBJ,507,36146,2
POST-IT SUPER STICKY,36,5322,3.5
INDEX CARDS RULED 3X5 100CT,107,4985,1
SCOTCH TAPE MAGIC 3/4X300,108,5305,2
PILOT G2 GEL ROLLER XF BLK 1PK,115,4459,2.5
BIC MECHANICAL PENCIL XTRA LIFE 5PK,67,4571,3
BIC SHIMMERS MECHANICAL PENCIL 10PK,66,4562,5.5
SHARPIE FINE BLK 1PK,66,4581,2
POSTER MOUNT DRM APPRVED,291,5303,2.5
COMMAND ADHESIVE STRIPS,211,6026,3.5
